,Name,Rating,Price,Department
209,"Acrylic Paint in Assorted Colors, 2 oz, Turquoise",,$0.20 - $13.87,"Arts, Crafts & Sewing"
210,"Elmer's Washable Dissappearing Purple School Glue Sticks, 3 Pack, 6 grams Each (E520)",4.7 out of 5 stars,$1.71 - $62.47,"Arts, Crafts & Sewing"
211,"Yarn, Baby Pink",4.7 out of 5 stars,$1.11 - $29.99,"Arts, Crafts & Sewing"
212,"Gorilla Dual Temp Mini Hot Glue Gun Kit with 30 Hot Glue Sticks, (Pack of 1)",4.7 out of 5 stars,$10.00 - $30.63,"Arts, Crafts & Sewing"
213,"All-Purpose Liquid Dye, 8 oz, Neon Green, 8 Fl oz",,$2.49 - $24.99,"Arts, Crafts & Sewing"
214,"Apple Barrel Acrylic Paint in Assorted Colors (8 Ounce), J20405 Antique White",4.7 out of 5 stars,$2.50 - $19.82,"Arts, Crafts & Sewing"
215,"BOSOBO Paint Brushes Set, 2 Pack 20 Pcs Round Pointed Tip Paintbrushes Nylon Hair…",4.7 out of 5 stars,$6.99,"Arts, Crafts & Sewing"
216,Goo Gone Adhesive Remover - 8 Ounce - Surface Safe Adhesive Remover Safely…,4.6 out of 5 stars,$6.99 - $15.00,"Arts, Crafts & Sewing"
217,YRYM HT Clear Vinyl Transfer Paper Tape Roll-12 x 50 FT w/Alignment Grid Application…,4.6 out of 5 stars,$16.88,"Arts, Crafts & Sewing"
218,"Apple Barrel Acrylic Paint in Assorted Colors (16 Ounce), 21148 Black",4.7 out of 5 stars,$4.47 - $22.63,"Arts, Crafts & Sewing"
219,"3 Pack PTFE Teflon Sheet for Heat Press Transfer Sheet Non Stick 16 x 20"" Heat…",4.8 out of 5 stars,$6.88,"Arts, Crafts & Sewing"
220,"Amazon Basics Multipurpose, Comfort Grip, Titanium Fused, Stainless Steel Office…",4.8 out of 5 stars,$10.99,"Arts, Crafts & Sewing"
221,"Acrylic Paint Set, Caliart 24 Colors (59ml, 2oz) Art Craft Paint Supplies for Canvas…",4.8 out of 5 stars,$22.29,"Arts, Crafts & Sewing"
222,Paxcoo 1mm Elastic Bracelet String Cord Stretch Bead Cord for Jewelry Making and…,4.4 out of 5 stars,$6.99,"Arts, Crafts & Sewing"
223,"Neenah White Index, Heavyweight Cardstock, 300 Sheets, 110 lb/199 gsm, 94 Brightness,…",4.7 out of 5 stars,$13.99,"Arts, Crafts & Sewing"
224,"Elmer's All Purpose School Glue Sticks, Washable, 7 Gram, 30 Count",4.8 out of 5 stars,$6.37,"Arts, Crafts & Sewing"
225,"VATIN 1-1/2"" Wide Double Faced Polyester Apple Green Satin Ribbon Continuous…",4.8 out of 5 stars,$4.29 - $17.99,"Arts, Crafts & Sewing"
226,"HeatnBond Hem Iron-On Adhesive, Super Weight, 3/4 Inch x 8 Yards, Black",4.5 out of 5 stars,$2.99 - $7.10,"Arts, Crafts & Sewing"
